System Code	Identifier	logFC	P.Value	adj.P.Val
Ch	HMDB11536	0.108715227	0.203276086	0.591515098
Ch	HMDB02925	0.143121705	0.205726803	0.593301406
Ch	HMDB00725	-0.379574663	0.207691872	0.593667917
Ch	HMDB03229	0.211909269	0.214926389	0.598882525
Ch	HMDB00784	0.09164182	0.219391548	0.598882525
Ch	HMDB11534	-0.274029382	0.220953459	0.598882525
Ch	HMDB02829	-0.079274248	0.220964178	0.598882525
Ch	HMDB01563	-0.348309864	0.221464907	0.598882525
Ch	HMDB13622	0.133466693	0.222486894	0.598882525
Ch	HMDB12458	0.058589056	0.224972207	0.598882525
Ch	HMDB00788	0.126318221	0.22698633	0.598882525
Ch	HMDB00872	0.147620323	0.227026668	0.598882525
Ch	HMDB00874	-0.248979818	0.228057432	0.598882525
Ch	HMDB00162	0.108255024	0.231762648	0.603704318
Ch	HMDB02007	-0.197758594	0.235217316	0.607801544
Ch	HMDB02994	-0.208662518	0.25117164	0.642179886
Ch	HMDB33433	0.211105052	0.252497974	0.642179886
Ch	HMDB00207	0.076536453	0.255315159	0.644271848
Ch	HMDB00036	-0.141009745	0.273695444	0.675210025
Ch	HMDB00730	0.082443462	0.273786699	0.675210025
Ch	HMDB00296	-0.103167757	0.27384679	0.675210025
Ch	HMDB00715	0.151293663	0.278204246	0.680757358
Ch	HMDB01032	0.292172774	0.284795471	0.691646144
Ch	HMDB12104	0.327835389	0.288578294	0.695602902
Ch	HMDB10738	0.118553731	0.290771218	0.695697063
Ch	HMDB00292	-0.149940158	0.302545374	0.717386181
Ch	HMDB0000746	0.240476259	0.308728748	0.717386181
Ch	HMDB00772	0.127441989	0.311072741	0.717386181
Ch	HMDB11553	0.293918448	0.312425531	0.717386181
Ch	HMDB00114	0.171537084	0.312770408	0.717386181
Ch	HMDB0000518	0.248384887	0.313162388	0.717386181
Ch	HMDB00157	0.158035552	0.319987178	0.72176914
Ch	HMDB11482	-0.104054936	0.32019153	0.72176914
Ch	HMDB00656	-0.137720254	0.321779431	0.72176914
Ch	HMDB00172	-0.108322152	0.324392014	0.722611175
Ch	HMDB04824	0.406776186	0.330182447	0.724662238
Ch	HMDB02759	0.244778253	0.332222511	0.724662238
Ch	HMDB04666	0.194710233	0.332457327	0.724662238
Ch	HMDB11686	0.218448992	0.334286915	0.724662238
Ch	HMDB00671	0.134611015	0.338308907	0.724923794
Ch	HMDB03072	0.115511933	0.338896263	0.724923794
Ch	HMDB10407	-0.18183584	0.349927132	0.739426948
Ch	HMDB01383	0.219762608	0.35025487	0.739426948
Ch	HMDB12107	-0.070035975	0.354103992	0.740644114
Ch	HMDB61677	0.053647795	0.355417454	0.740644114
Ch	HMDB00054	0.212149514	0.360879813	0.74720628
Ch	HMDB06547	0.063019167	0.364330668	0.748808037
Ch	HMDB33724	-0.396462313	0.366289999	0.748808037
Ch	HMDB00177	0.089866544	0.371587299	0.754859733
Ch	HMDB04193	0.216870398	0.375625083	0.757670027
Ch	HMDB03073	0.044447336	0.37960411	0.757670027
Ch	HMDB00182	-0.127513414	0.382297748	0.757670027
Ch	HMDB00714	0.130395538	0.387160656	0.757670027
Ch	HMDB13326	0.170898101	0.387590191	0.757670027
Ch	HMDB12108	-0.160176254	0.397972752	0.757670027
Ch	HMDB00187	-0.079006724	0.399117479	0.757670027
Ch	HMDB00792	0.068115605	0.399813079	0.757670027
Ch	HMDB0000619	-0.115731173	0.404379911	0.757670027
Ch	HMDB00301	-0.417828132	0.404992718	0.757670027
Ch	HMDB00682	-0.069657496	0.404993265	0.757670027
Ch	HMDB00329	0.188496811	0.408774376	0.757670027
Ch	HMDB10357	-0.15561885	0.418709545	0.757670027
Ch	HMDB00943	0.079999165	0.419035552	0.757670027
Ch	HMDB13331	-0.062480828	0.421185594	0.757670027
Ch	HMDB11559	0.150967645	0.421661468	0.757670027
Ch	HMDB02329	0.094834313	0.42166513	0.757670027
Ch	HMDB01847	0.055695556	0.422168249	0.757670027
Ch	HMDB00603	-0.288758386	0.422364236	0.757670027
Ch	HMDB01868	0.215890493	0.425033357	0.757670027
Ch	HMDB03099	-0.117178877	0.427492701	0.757670027
Ch	HMDB00641	0.045524558	0.428020746	0.757670027
Ch	HMDB03869	0.070014073	0.428066775	0.757670027
Ch	HMDB00517	0.069643874	0.429268158	0.757670027
Ch	HMDB11131	0.211277531	0.434975959	0.762126309
Ch	HMDB00139	0.162289036	0.437427194	0.762126309
Ch	HMDB03331	-0.20914633	0.43953082	0.762126309
Ch	HMDB00625	-0.243646641	0.441231021	0.762126309
Ch	HMDB00650	0.053331732	0.45015818	0.770406456
Ch	HMDB0000518	0.054654979	0.450795109	0.770406456
Ch	HMDB61115	0.048485827	0.454268898	0.772257126
Ch	HMDB03374	-0.153476696	0.465329895	0.785691935
Ch	HMDB10381	-0.084913535	0.473602784	0.785691935
Ch	HMDB00637	-0.067265256	0.474086897	0.785691935
Ch	HMDB02639	-0.167044426	0.478728706	0.785691935
Ch	HMDB00782	-0.06599257	0.480598774	0.785691935
Ch	HMDB00764	-0.083668748	0.482831937	0.785691935
Ch	HMDB00883	-0.149835744	0.486389297	0.785691935
Ch	HMDB00430	0.092666716	0.487386832	0.785691935
Ch	HMDB10408	0.080222104	0.48906527	0.785691935
Ch	HMDB00036	0.167447115	0.492742816	0.785691935
Ch	HMDB11481	-0.180687056	0.501059692	0.785691935
Ch	HMDB11621	-0.139252105	0.501646975	0.785691935
Ch	HMDB10357	0.071772432	0.501889515	0.785691935
Ch	HMDB00574	-0.072576936	0.502280959	0.785691935
Ch	HMDB00755	0.09971798	0.508708658	0.785691935
Ch	HMDB00806	0.111553432	0.511358564	0.785691935
Ch	HMDB01999	-0.039880986	0.511835307	0.785691935
Ch	HMDB02014	-0.039030481	0.512886869	0.785691935
Ch	HMDB00156	-0.063736646	0.513450843	0.785691935
Ch	HMDB00289	0.083442314	0.515565972	0.785691935
Ch	HMDB59724	0.033531336	0.516937948	0.785691935
Ch	HMDB10404	0.292236294	0.516987435	0.785691935
Ch	HMDB00929	0.04848463	0.523336144	0.785691935
Ch	HMDB02231	0.050986943	0.524203025	0.785691935
Ch	HMDB01325	-0.043209046	0.527149266	0.785691935
Ch	HMDB00017	0.067000626	0.527514492	0.785691935
Ch	HMDB10391	0.017777898	0.527848762	0.785691935
Ch	HMDB11493	-0.2354531	0.53294551	0.787688192
Ch	HMDB00251	-0.299797928	0.534067226	0.787688192
Ch	HMDB00019	-0.050538748	0.543288331	0.793349041
Ch	HMDB00884	0.081381904	0.546979004	0.793349041
Ch	HMDB31057	-0.155997032	0.549930239	0.793349041
Ch	HMDB11171	0.140207777	0.550966399	0.793349041
Ch	HMDB00767	0.11148741	0.55192894	0.793349041
Ch	HMDB00305	0.05890278	0.555848626	0.793349041
Ch	HMDB29377	-0.146799396	0.555878136	0.793349041
Ch	HMDB11531	0.077829317	0.557554899	0.793349041
Ch	HMDB00529	-0.1470459	0.573127446	0.808627771
Ch	HMDB11749	0.089311719	0.57556697	0.808627771
Ch	HMDB10401	0.188480272	0.576499796	0.808627771
Ch	HMDB00430	0.025682963	0.578306548	0.808627771
Ch	HMDB01860	-0.13004643	0.584081808	0.812296591
Ch	HMDB00167	0.059475741	0.58596008	0.812296591
Ch	HMDB11532	0.123199627	0.588711592	0.812623266
Ch	HMDB61714	-0.030801289	0.609751063	0.833602292
Ch	HMDB33592	-0.062921913	0.610298703	0.833602292
Ch	HMDB02000	0.161099371	0.613518633	0.833602292
Ch	HMDB00848	0.094894552	0.614233268	0.833602292
Ch	HMDB11483	0.11898191	0.618491175	0.835868826
Ch	HMDB29159	-0.048052529	0.623239594	0.838776621
Ch	HMDB11532	-0.047483809	0.637372568	0.854237924
Ch	HMDB0011635	-0.053667525	0.645185928	0.859929065
Ch	HMDB06695	0.088915884	0.646943538	0.859929065
Ch	HMDB0001889	0.055351764	0.649665701	0.860008284
Ch	HMDB02823	-0.031225355	0.653193446	0.861148911
Ch	HMDB02203	-0.106724964	0.66555501	0.871883957
Ch	HMDB10325	0.062562761	0.666734791	0.871883957
Ch	HMDB60484	-0.029698603	0.672286644	0.874324908
Ch	HMDB02366	-0.122795762	0.675286044	0.874324908
Ch	HMDB00205	0.082828416	0.67731271	0.874324908
Ch	HMDB11477	0.032275848	0.679428954	0.874324908
Ch	HMDB10318	0.031334434	0.689616968	0.879811611
Ch	HMDB60015	0.076826439	0.69257624	0.879811611
Ch	HMDB00001	0.108379457	0.694268143	0.879811611
Ch	HMDB11753	-0.111120712	0.698851798	0.879811611
Ch	HMDB02302	-0.018914675	0.699667166	0.879811611
Ch	HMDB01043	-0.017731848	0.700035864	0.879811611
Ch	HMDB00888	0.066023554	0.706736949	0.882681881
Ch	HMDB00949	-0.160737338	0.707785161	0.882681881
Ch	HMDB00192	0.042040781	0.713292382	0.882876438
Ch	HMDB06246	0.0396412	0.717778215	0.882876438
Ch	HMDB10382	-0.03741039	0.718819001	0.882876438
Ch	HMDB05065	0.081807317	0.721320166	0.882876438
Ch	HMDB10392	0.093046984	0.721607986	0.882876438
Ch	HMDB31923	-0.101675931	0.732505798	0.885554322
Ch	HMDB11550	0.043987319	0.733774862	0.885554322
Ch	HMDB02203	-0.038957883	0.733850225	0.885554322
Ch	HMDB11558	-0.034088516	0.738611862	0.885554322
Ch	HMDB60038	-0.022683587	0.740215718	0.885554322
Ch	HMDB00670	0.027316328	0.741990833	0.885554322
Ch	HMDB00669	0.031589268	0.742995112	0.885554322
Ch	HMDB00904	0.040320273	0.747165284	0.885554322
Ch	HMDB00512	-0.072192412	0.748708282	0.885554322
Ch	HMDB00138	0.064979838	0.75134444	0.885554322
Ch	HMDB0000243	0.047748518	0.753954918	0.885554322
Ch	HMDB00039	-0.01994854	0.758917449	0.888153392
Ch	HMDB05060	-0.036419758	0.771488372	0.899605575
Ch	HMDB10386	-0.033057752	0.775627952	0.901179239
Ch	HMDB00562	0.017868683	0.786297762	0.903590761
Ch	HMDB00707	-0.209917378	0.788264151	0.903590761
Ch	HMDB0000518	-0.055592453	0.788353967	0.903590761
Ch	HMDB11494	-0.024455453	0.790062422	0.903590761
Ch	HMDB00907	0.05974998	0.795798902	0.903590761
Ch	HMDB03869	0.019320908	0.797165809	0.903590761
Ch	HMDB00709	-0.034768723	0.798947701	0.903590761
Ch	HMDB11539	-0.033367476	0.80008346	0.903590761
Ch	HMDB00673	-0.02266013	0.810870965	0.912583003
Ch	HMDB01539	0.07734661	0.817518615	0.916869836
Ch	HMDB00637	-0.038505107	0.822213279	0.918240771
Ch	HMDB10398	0.024931055	0.827944061	0.918240771
Ch	HMDB00070	0.029706042	0.829341354	0.918240771
Ch	HMDB00387	0.019460395	0.83453991	0.918240771
Ch	HMDB11129	0.026867896	0.835781942	0.918240771
Ch	HMDB00300	-0.01879187	0.835798101	0.918240771
Ch	HMDB00672	-0.025313787	0.842904584	0.922295979
Ch	HMDB61116	0.029747716	0.845200031	0.922295979
Ch	HMDB00159	-0.02018641	0.852455125	0.927080827
Ch	HMDB03818	-0.02114273	0.85559455	0.927372616
Ch	HMDB0000248	0.020664106	0.858960449	0.927907107
Ch	HMDB29159	0.022695857	0.869992978	0.936692439
Ch	HMDB11531	0.031148281	0.880632216	0.944997361
Ch	HMDB00479	-0.007855901	0.884390264	0.945887601
Ch	HMDB04207	0.013911323	0.890294227	0.949059523
Ch	HMDB02639	-0.039512587	0.897917539	0.953521883
Ch	HMDB02226	-0.010103025	0.90038444	0.953521883
Ch	HMDB00872	-0.009959227	0.912832924	0.959659716
Ch	HMDB00696	-0.010943568	0.915831013	0.959659716
Ch	HMDB60485	-0.011638301	0.915985118	0.959659716
Ch	HMDB02320	-0.031391091	0.918064558	0.959659716
Ch	HMDB00024	-0.005785389	0.924754099	0.960869079
Ch	HMDB00078	-0.008393842	0.930975177	0.960869079
Ch	HMDB00064	0.020808803	0.930979051	0.960869079
Ch	HMDB00510	0.017293744	0.93112081	0.960869079
Ch	HMDB29412	0.004625286	0.938561861	0.965463315
Ch	HMDB00062	-0.006442809	0.946507302	0.970545582
Ch	HMDB11542	0.006297644	0.951715183	0.972797481
Ch	HMDB10384	-0.015330413	0.957406667	0.975487133
Ch	HMDB12097	-0.005737361	0.960386713	0.975487133
Ch	HMDB01032	-0.003584548	0.968682749	0.978569151
Ch	HMDB29006	-0.008673156	0.971610395	0.978569151
Ch	HMDB13324	0.003148219	0.9725099	0.978569151
Ch	HMDB05066	0.000982185	0.986605745	0.989669738
Ch	HMDB00791	0.000226779	0.999617626	0.999617626
H	PLTP	-0.458492095	0.000449205	0.105102815
H	APOC4	0.62396065	0.000696045	0.105102815
H	APOD	-0.292288547	0.001588031	0.14269693
H	PRG4	0.469836969	0.001890026	0.14269693
H	CFH	0.213652654	0.002796795	0.168926438
H	SERPIND1	0.197878295	0.0044003	0.221481782
H	HP	0.388566877	0.008576347	0.298496012
H	BCHE	0.282616788	0.009303838	0.298496012
H	F10	0.270514966	0.011267978	0.298496012
H	PRG4	0.474751353	0.011658652	0.298496012
H	APOA1	-0.300608273	0.011756845	0.298496012
H	APOF	-0.268810958	0.012783916	0.298496012
H	LRG1	-0.245286637	0.013515353	0.298496012
H	VTN	0.189583632	0.013837563	0.298496012
H	SHBG	-0.522259366	0.021224001	0.427309884
H	NPHP3	0.346620542	0.026520963	0.500583168
H	IL1RAP	-0.301883994	0.033242593	0.560178265
H	BTD	0.185816047	0.033388108	0.560178265
H	C1QB	0.163770865	0.037785045	0.600583349
H	PCOLCE	0.169790175	0.041153111	0.608429732
H	C4A	-0.401751569	0.042308028	0.608429732
H	LPA	-1.074177613	0.049099125	0.608712028
H	GSN	-0.165977771	0.049848572	0.608712028
H	KNG1	0.311470495	0.050844035	0.608712028
H	MASP1	0.257895411	0.050846843	0.608712028
H	PON1	-0.191781136	0.052405671	0.608712028
H	INHBC	0.186973506	0.054479544	0.609363784
H	FCN3	0.256166782	0.06000477	0.615641171
H	C5	0.096933745	0.064359004	0.615641171
H	IGHV1-69	0.485969288	0.064950078	0.615641171
H	IL1RAP	-0.212074788	0.065570649	0.615641171
H	PROS1	0.139683132	0.06915421	0.615641171
H	TYMP	0.401840677	0.069650881	0.615641171
H	MGP	0.203458759	0.071332589	0.615641171
H	CFHR2	-0.406287323	0.071349142	0.615641171
H	ACTBL2	0.32020974	0.079005456	0.662767988
H	COL6A3	-0.262926929	0.085872556	0.700905729
H	JCHAIN	0.245618957	0.094207557	0.748702161
H	F13A1	-0.199115714	0.10118083	0.76435934
H	IGHV4-39	0.230237663	0.10331448	0.76435934
H	IGKV3-20	-0.268426448	0.104807809	0.76435934
H	FETUB	0.188053512	0.108220376	0.76435934
H	PON3	-0.186830278	0.112029454	0.76435934
H	ATRN	0.116075549	0.112638944	0.76435934
H	IGHV3-7	0.225611947	0.11533389	0.76435934
H	DSP	-0.232251776	0.116425595	0.76435934
H	HPR	-0.254308221	0.120508777	0.765466179
H	C9	-0.155708901	0.121663499	0.765466179
H	IGKV1-16	0.374168118	0.130248721	0.800580943
H	IGHV3-33	0.313246253	0.132702209	0.800580943
H	DYNC1H1	-0.178103504	0.135197444	0.800580943
H	CEP290	0.266459109	0.139556892	0.810503488
H	IGHV3-53	0.25725551	0.142879028	0.814140875
H	ECM1	-0.132497333	0.149278708	0.818749879
H	IGHM	0.279694643	0.151005852	0.818749879
H	IGHV3-23	0.182852714	0.158862381	0.818749879
H	SERPINA3	-0.084349715	0.16180925	0.818749879
H	MAN2B2	0.213648829	0.16361754	0.818749879
H	IGKV3-20	0.208143891	0.164381144	0.818749879
H	ITIH3	-0.140297437	0.165897624	0.818749879
H	IGLC2	-0.248054609	0.170743194	0.818749879
H	A2M	-0.119087837	0.171263289	0.818749879
H	IGHD	-0.94469034	0.17249803	0.818749879
H	ADIPOQ	-0.266094978	0.173509908	0.818749879
H	CP	-0.107481072	0.183743947	0.830933759
H	CNDP1	-0.213508725	0.184036669	0.830933759
H	C3	0.081235361	0.185580741	0.830933759
H	VCL	0.280333725	0.189536717	0.830933759
H	PFN1	0.276690301	0.189849104	0.830933759
H	AZGP1	-0.150970185	0.194967658	0.835057538
H	SERPINA6	-0.140618225	0.196321474	0.835057538
H	IGLV1-47	-0.171613996	0.204593172	0.858154692
H	FLNA	0.267466731	0.208504808	0.862581533
H	IGHV1-2	-0.354023993	0.213398697	0.86962148
H	IGFBP3	0.144263986	0.215965599	0.86962148
H	APOM	-0.108830006	0.226303184	0.899257389
H	ACTA1	0.203827537	0.238250945	0.915592784
H	PZP	-0.317911394	0.243202844	0.915592784
H	COLEC11	-0.200635033	0.252970167	0.915592784
H	MBL2	-0.342258506	0.254184536	0.915592784
H	IGHA2	-0.360942426	0.257847266	0.915592784
H	F11	0.171256194	0.264247652	0.915592784
H	CFP	-0.149422945	0.266222338	0.915592784
H	SERPING1	-0.2226287	0.268585648	0.915592784
H	NCAM1	0.230326116	0.270861128	0.915592784
H	ABCF1	-0.147409519	0.274607726	0.915592784
H	CFHR5	0.160147862	0.27981668	0.915592784
H	FN1	0.136441306	0.281187226	0.915592784
H	TPM4	0.262277948	0.283214038	0.915592784
H	IGKV1-33	-0.166635544	0.283780305	0.915592784
H	IGLV1-51	0.219059419	0.284459109	0.915592784
H	IGLV6-57	0.279124296	0.28954205	0.915592784
H	SCP2	0.211942662	0.292199981	0.915592784
H	C1RL	0.231402788	0.292460522	0.915592784
H	EFEMP1	0.273320562	0.294334686	0.915592784
H	C4B	-0.258390749	0.297402733	0.915592784
H	C4BPA	-0.124102445	0.298761729	0.915592784
H	AFM	0.134690316	0.298847723	0.915592784
H	F13B	-0.130703973	0.300787023	0.915592784
H	APOB	0.106929749	0.303176418	0.915592784
H	CFD	0.161182618	0.307930986	0.920744136
H	ADGRF5	0.156085385	0.313950686	0.929540267
H	PRDX2	-0.187218315	0.322993284	0.936796254
H	KLKB1	0.078632793	0.323973657	0.936796254
H	HRG	0.093636692	0.330372883	0.936796254
H	APOA2	-0.091812533	0.335678751	0.936796254
H	MASP2	0.136479326	0.345250033	0.936796254
H	LDHB	-0.224854821	0.352349075	0.936796254
H	C1QC	0.078503419	0.362257096	0.936796254
H	LUM	0.070349353	0.365127798	0.936796254
H	MCAM	-0.140820173	0.370193336	0.936796254
H	IGLV3-21	0.207213258	0.371203204	0.936796254
H	IGKV1D-16	0.096094964	0.372707037	0.936796254
H	MMRN1	-0.094937775	0.379316799	0.936796254
H	IGF2	0.061981486	0.388614998	0.936796254
H	PSTK	-0.078567792	0.39098717	0.936796254
H	IGKV1D-33	-0.133694252	0.392367554	0.936796254
H	PCYOX1	0.15536353	0.400414307	0.936796254
H	PROC	0.082464508	0.402652508	0.936796254
H	SERPINF1	0.065640885	0.403344954	0.936796254
H	HNRNPM	-0.150529579	0.405319661	0.936796254
H	PLG	0.043773151	0.40757923	0.936796254
H	HPX	0.04894874	0.421628163	0.936796254
H	IGLV6-57	0.24962736	0.421651249	0.936796254
H	CLU	-0.041590124	0.426782345	0.936796254
H	CLU	-0.042753541	0.430509159	0.936796254
H	F2	0.043928236	0.431789223	0.936796254
H	C4BPB	-0.061851527	0.439414087	0.936796254
H	CAMP	0.124201521	0.44292986	0.936796254
H	ASS1	-0.193470995	0.444149385	0.936796254
H	C1QA	0.057602691	0.444559521	0.936796254
H	SAA1	-0.229765647	0.447029798	0.936796254
H	SCLT1	0.087843723	0.448445413	0.936796254
H	C8G	0.062481294	0.449168635	0.936796254
H	DBH	-0.183756048	0.450991168	0.936796254
H	ITIH4	0.053296538	0.451538233	0.936796254
H	FCGBP	0.135537294	0.460654671	0.936796254
H	IGKV2D-28	0.093348375	0.460884276	0.936796254
H	IGLV1-40	0.126874671	0.463668581	0.936796254
H	CST3	-0.090368036	0.464007926	0.936796254
H	APOC2	0.122122904	0.46424073	0.936796254
H	CDK5RAP2	0.124966741	0.465137996	0.936796254
H	TF	0.0421307	0.467455803	0.936796254
H	CFI	0.057593214	0.469827788	0.936796254
H	CDHR5	0.07885748	0.479492424	0.936796254
H	PGLYRP2	0.052218704	0.47969535	0.936796254
H	SAA4	-0.094163493	0.479710734	0.936796254
H	PIGR	0.14445946	0.481162332	0.936796254
H	C8B	-0.067735394	0.490737827	0.936796254
H	OLFM1	-0.092004781	0.492122978	0.936796254
H	MSN	0.121456961	0.494367845	0.936796254
H	LGALS3BP	0.12208845	0.497551129	0.936796254
H	ITIH2	0.041456362	0.508877847	0.936796254
H	SAA2	-0.177684789	0.509860661	0.936796254
H	PROZ	-0.200903376	0.514626208	0.936796254
H	NUP205	-0.094411554	0.514961728	0.936796254
H	SERPINA7	0.077184977	0.515211546	0.936796254
H	CPN1	0.053637764	0.518862849	0.936796254
H	IGKV3-15	-0.078693394	0.524950769	0.936796254
H	ATP5A1	-0.105646629	0.526366694	0.936796254
H	APCS	0.076917241	0.531501034	0.936796254
H	FCN2	-0.093346827	0.533437564	0.936796254
H	MYBPC2	0.061679006	0.533857935	0.936796254
H	IGHV1-46	0.086130349	0.53642977	0.936796254
H	THBS1	-0.195517799	0.542537058	0.936796254
H	MTHFD1	0.158695487	0.543843798	0.936796254
H	APOA4	-0.063836931	0.544857896	0.936796254
H	HBB	-0.088841883	0.545061879	0.936796254
H	ATP11B	0.031917123	0.545868891	0.936796254
H	COMP	-0.056770223	0.546003247	0.936796254
